PoL_Timestamp,Currency.Code,Order.number,Quantity,Amount,Outstanding.Quantity,Outstanding.Amount,Qty_.to.Receive,Quantity.Received,ItemNo,k_ExpectedReceiptDate,k_RequestedReceiptDate,k_ConfirmedDeliveryDate,k_ETCDate,k_B_L.Date,k_OrderDate,k_PostingDate,k_DateReceived,PoH_Timestamp
2.02311E+13,USD,4524035074,367,6277,0,0,0,367,720658,20231107,20231115,20230930,2023,20231106,20230428,20231106,20231106,2.02311E+13
2.02311E+13,USD,4524094298,519,8893,0,0,0,519,720658,20231106,20231115,20230930,2023,20231103,20230428,20231103,20231103,2.02311E+13
2.02311E+13,USD,4593935961,428,7323,0,0,0,428,720658,20231107,20231115,20230930,2023,20231106,20230428,20231106,20231106,2.02311E+13
2.02311E+13,USD,4544819562,397,6808,0,0,0,397,720658,20231113,20231115,20230930,2023,20231110,20230428,20231110,20231110,2.02311E+13
2.02311E+13,USD,4519614665,428,7323,0,0,0,428,720658,20231101,20231115,20230930,2023,20231031,20230428,20231031,20231031,2.02311E+13
2.02311E+13,USD,4527155838,306,5231,0,0,0,306,720658,20231106,20231115,20230930,2023,20231103,20230428,20231103,20231103,2.02311E+13
2.02311E+13,USD,4524036187,1375,23539,0,0,0,1375,720658,20231107,20231115,20230930,2023,20231106,20230428,20231106,20231106,2.02311E+13
2.02307E+13,USD,4514594190,92,1244,0,0,0,92,667050,20230313,20230115,20221215,2022,20230310,20220824,20230310,20230310,2.02307E+13
2.02301E+13,USD,4526677864,1406,17667,0,0,0,1406,667050,20230125,20230115,20221130,2022,20230124,20220824,20230124,20230124,2.02301E+13
2.02307E+13,USD,4523389919,92,1244,0,0,0,92,667050,20230313,20230115,20221215,2022,20230310,20220824,20230310,20230310,2.02307E+13
2.02302E+13,USD,4598519694,2322,30327,0,0,0,2322,295291,20230215,20230115,20221215,2022,20230214,20220824,20230214,20230214,2.02302E+13
2.02311E+13,USD,4538685515,183,2812,0,0,0,183,400323,20231101,20231115,20230930,2023,20231031,20230428,20231031,20231031,2.02311E+13
2.02311E+13,USD,4528636819,611,9374,0,0,0,611,400323,20231101,20231115,20230930,2023,20231031,20230428,20231031,20231031,2.02311E+13
2.02311E+13,USD,4526399225,275,4218,0,0,0,275,400323,20231113,20231115,20230930,2023,20231110,20230428,20231110,20231110,2.02311E+13
2.02311E+13,USD,4543609250,947,14530,0,0,0,947,400323,20231101,20231115,20230930,2023,20231031,20230428,20231031,20231031,2.02311E+13
2.02301E+13,USD,4535925204,367,11795,0,0,0,367,658680,20230126,20230215,20221231,2022,20230126,20220922,20230126,20230126,2.02301E+13
2.02302E+13,USD,4532193739,122,3932,0,0,0,122,658680,20230224,20230215,20221231,2022,20230223,20220922,20230223,20230223,2.02302E+13
2.02301E+13,USD,4527568079,306,9829,0,0,0,306,658680,20230126,20230215,20221231,2022,20230126,20220922,20230126,20230126,2.02301E+13
2.02301E+13,USD,4531528691,92,1677,0,0,0,92,377185,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02302E+13,USD,4537455899,122,2817,0,0,0,122,305620,20230217,20230223,20221231,2022,20230217,20220922,20230216,20230216,2.02302E+13
2.02302E+13,USD,4537722717,733,16961,0,0,0,733,368229,20230216,20230223,20221231,2022,20230215,20220922,20230215,20230215,2.02302E+13
2.02302E+13,USD,4536132561,183,4240,0,0,0,183,368229,20230216,20230223,20221231,2022,20230215,20220922,20230215,20230215,2.02302E+13
2.02302E+13,USD,4520744676,550,15751,0,0,0,550,904589,20230217,20230215,20230105,2022,20230216,20220922,20230216,20230216,2.02302E+13
2.02303E+13,USD,4565665691,244,7001,0,0,0,244,904589,20230303,20230215,20230105,2022,20230302,20220922,20230302,20230302,2.02303E+13
2.02307E+13,USD,4527573124,31,875,0,0,0,31,347258,20230308,20230215,20221231,2022,20230216,20220922,20230228,20230228,2.02307E+13
2.02301E+13,USD,4522001639,244,6583,0,0,0,244,637767,20230112,20230115,20221130,2022,20230111,20220824,20230111,20230111,2.02301E+13
2.02301E+13,USD,4510944920,61,1660,0,0,0,61,637767,20230118,20230328,20221215,2022,20230119,20220824,20230117,20230117,2.02301E+13
2.02301E+13,USD,4538729157,153,4114,0,0,0,153,637767,20230112,20230115,20221130,2022,20230111,20220824,20230111,20230111,2.02301E+13
2.02301E+13,USD,4524184573,61,1628,0,0,0,61,637767,20230120,20230115,20221130,2022,20230102,20220824,20230118,20230118,2.02301E+13
2.02301E+13,USD,4599998148,122,3337,122,3337,122,0,495759,20230213,20230301,20221231,2022,NULL,20220922,NULL,NULL,2.02301E+13
2.02301E+13,USD,4588211245,367,9823,0,0,0,367,495759,20230104,20230115,20221130,2022,20230103,20220824,20230103,20230103,2.02301E+13
2.02309E+13,USD,4535301731,183,4763,0,0,0,183,495759,20220317,20211015,20211231,2021,20220316,20210531,20220316,20220316,2.02309E+13
2.02309E+13,USD,4522900228,92,2381,0,0,0,92,495759,20220317,20211015,20211231,2021,20220316,20210531,20220316,20220316,2.02309E+13
2.02309E+13,USD,4511455853,61,1588,0,0,0,61,495759,20220317,20211015,20211231,2021,20220316,20210531,20220316,20220316,2.02309E+13
2.02309E+13,USD,4576622441,581,15082,0,0,0,581,495759,20220317,20211015,20211231,2021,20220316,20210531,20220316,20220316,2.02309E+13
2.02309E+13,USD,4567841270,153,3969,0,0,0,153,495759,20220317,20211015,20211231,2021,20220316,20210531,20220316,20220316,2.02309E+13
