"article_id","price","sellable_online"
119725,2480,TRUE
454796,3015,TRUE
275020,3140,TRUE
914480,965,TRUE
627333,465,TRUE
473799,1719,TRUE
857244,1578,TRUE
268587,1100,TRUE
654102,3781,TRUE
978714,2875,TRUE
770533,841,TRUE
282038,540,TRUE
568364,289,TRUE
765837,2075,TRUE
479456,2075,TRUE
286173,1140,TRUE
383271,1636,TRUE
898634,1085,TRUE
828040,2156,TRUE
686804,1470,TRUE
756670,1772.5,TRUE
488825,4305,TRUE
389131,965,TRUE
986772,1670,TRUE
665625,225,TRUE
814176,2495,TRUE
611801,2675,TRUE
780235,2275,TRUE
778017,405,TRUE
795106,4645,TRUE
572314,3162,TRUE
822702,2265,TRUE
250888,3460,TRUE
664019,3227,TRUE
202213,3905,TRUE
719800,979,TRUE
759396,589,TRUE
791184,1195,TRUE
532862,5865,TRUE
557363,3935,TRUE
624810,1260,TRUE
534498,1980,TRUE
958911,145,TRUE
425384,995,TRUE
683050,179,TRUE
208955,28,TRUE
509415,395,TRUE
334114,275,TRUE
135066,2275,TRUE
260058,1195,TRUE
929149,895,TRUE
868174,145,TRUE
387525,550,TRUE
120314,345,TRUE
371678,345,TRUE
170918,25,TRUE
665356,345,TRUE
617009,545,TRUE
552811,195,TRUE
542899,149,TRUE
692119,245,TRUE
843161,99,TRUE
233535,180,TRUE
353900,545,TRUE
166075,795,TRUE
972878,795,TRUE
742748,25,TRUE
712051,745,TRUE
950391,1445,TRUE
406533,425,TRUE
436104,145,TRUE
430118,75,TRUE
319353,395,TRUE
376671,69,TRUE
123065,245,TRUE
273289,575,TRUE
686371,195,TRUE
818204,111,TRUE
427143,15,TRUE
216779,75,TRUE
845589,95,TRUE
985103,89,TRUE
829582,260,TRUE
743483,150,TRUE
233911,60,TRUE
554434,50,TRUE
493159,35,TRUE
922168,475,TRUE
556681,70,TRUE
241362,345,TRUE
285622,1395,TRUE
125139,1495,TRUE
169346,159,TRUE
190575,45,TRUE
698214,225,TRUE
139074,145,TRUE
790691,205,TRUE
357948,305,TRUE
943492,50,TRUE
342437,425,TRUE
500929,595,TRUE
623165,395,TRUE
128813,795,TRUE
890234,87,TRUE
251550,5436,TRUE
688868,22,TRUE
538716,25,TRUE
779208,275,TRUE
806196,25,TRUE
772427,70,TRUE
475171,995,TRUE
849569,139,TRUE
434739,34,TRUE
195255,59,TRUE
192770,59,TRUE
368954,1495,TRUE
685837,1995,TRUE
961441,225,TRUE
929811,345,TRUE
154806,400,TRUE
883020,200,TRUE
746363,45.5,TRUE
419899,1495,TRUE
797120,65,TRUE
585575,299,TRUE
530250,70,TRUE
277549,75,TRUE
372064,60,TRUE
938422,350,TRUE
644988,695,TRUE
535744,95,TRUE
984886,1295,TRUE
516994,475,TRUE
102701,796,TRUE
985952,495,TRUE
436267,395,TRUE
900668,2320,TRUE
873476,645,TRUE
359595,145,TRUE
349110,345,TRUE
905629,45,TRUE
992447,75,TRUE
468689,175,TRUE
656028,35,TRUE
829161,300,TRUE
380263,1295,TRUE
501008,595,TRUE
599437,595,TRUE
260059,975,TRUE
187605,395,TRUE
501058,1795,TRUE
219620,476,TRUE
442520,495,TRUE
240433,399,TRUE
433033,2697,TRUE
304769,225,TRUE
291771,20,TRUE
484985,595,TRUE
468600,695,TRUE
746233,125,TRUE
250098,10,FALSE
